iter	Accuracy	MultiClass
0	0.512195122	1.081531134
1	0.512195122	1.065173763
2	0.5052264808	1.051935824
3	0.5087108014	1.038312143
4	0.5017421603	1.028760719
5	0.5226480836	1.019618231
6	0.5296167247	1.010778551
7	0.5470383275	1.0027004
8	0.5365853659	0.9980419585
9	0.5296167247	0.9936901552
10	0.5365853659	0.9895039488
11	0.5400696864	0.9818766585
12	0.5470383275	0.9783742259
13	0.5400696864	0.976340107
14	0.5400696864	0.972525532
15	0.5365853659	0.9706159105
16	0.543554007	0.9660953976
17	0.543554007	0.9631790684
18	0.543554007	0.9595463036
19	0.543554007	0.9556531471
20	0.5365853659	0.9541207286
21	0.543554007	0.9486674873
22	0.543554007	0.9478483228
23	0.5400696864	0.9451288176
24	0.543554007	0.9423300694
25	0.5470383275	0.9397048316
26	0.5609756098	0.9360964572
27	0.5574912892	0.9320502207
28	0.5644599303	0.9300602871
29	0.5644599303	0.9296304108
30	0.5714285714	0.9280720929
31	0.574912892	0.9278377456
32	0.5783972125	0.9265819349
33	0.5818815331	0.9261203675
34	0.574912892	0.9237218542
35	0.574912892	0.9236126205
36	0.574912892	0.9233500013
37	0.574912892	0.9213637445
38	0.574912892	0.9212899706
39	0.5714285714	0.9207828336
40	0.5853658537	0.9182155385
41	0.5783972125	0.9166784784
42	0.5714285714	0.9148724825
43	0.5818815331	0.9144314153
44	0.5783972125	0.9140237538
45	0.5783972125	0.9126552263
46	0.574912892	0.9083801312
47	0.5818815331	0.9076834481
48	0.5783972125	0.905770912
49	0.5818815331	0.9019963162
50	0.5818815331	0.9012775835
